index,per_of_cn_semantics_0,seq_of_cn_semantics_0,per_of_cn_kwg_0,seq_of_cn_kwg_0,per_of_cn_sir_0,seq_of_cn_sir_0,per_of_en_semantics_0,seq_of_en_semantics_0,per_of_en_kwg_0,seq_of_en_kwg_0,per_of_en_sir_0,seq_of_en_sir_0,per_of_RecursivePara_semantics_0,seq_of_RecursivePara_semantics_0,per_of_RecursivePara_semantics_1,seq_of_RecursivePara_semantics_1,per_of_RecursivePara_semantics_2,seq_of_RecursivePara_semantics_2,per_of_RecursivePara_semantics_3,seq_of_RecursivePara_semantics_3,per_of_RecursivePara_semantics_4,seq_of_RecursivePara_semantics_4,per_of_RecursivePara_kwg_0,seq_of_RecursivePara_kwg_0,per_of_RecursivePara_kwg_1,seq_of_RecursivePara_kwg_1,per_of_RecursivePara_kwg_2,seq_of_RecursivePara_kwg_2,per_of_RecursivePara_kwg_3,seq_of_RecursivePara_kwg_3,per_of_RecursivePara_kwg_4,seq_of_RecursivePara_kwg_4,per_of_RecursivePara_SIR_0,seq_of_RecursivePara_SIR_0,per_of_RecursivePara_SIR_1,seq_of_RecursivePara_SIR_1,per_of_RecursivePara_SIR_2,seq_of_RecursivePara_SIR_2,per_of_RecursivePara_SIR_3,seq_of_RecursivePara_SIR_3,per_of_RecursivePara_SIR_4,seq_of_RecursivePara_SIR_4,per_of_PivotTranslation_semantics_0,seq_of_PivotTranslation_semantics_0,per_of_PivotTranslation_kwg_0,seq_of_PivotTranslation_kwg_0,per_of_PivotTranslation_sir_0,seq_of_PivotTranslation_sir_0,per_of_NormalTranslation_semantics_0,seq_of_NormalTranslation_semantics_0,per_of_NormalTranslation_kwg_0,seq_of_NormalTranslation_kwg_0,per_of_NormalTranslation_sir_0,seq_of_NormalTranslation_sir_0,per_of_inputs_cn_0,seq_of_inputs_cn_0,per_of_inputs_en_0,seq_of_inputs_en_0
0,70.70854187011719,590,30.29117774963379,576,30.29117774963379,503,44.12440490722656,358,24.798561096191406,360,24.798561096191406,212,69.24298095703125,183,58.39151763916016,152,53.12034225463867,205,50.74273681640625,279,26.872478485107425,213,24.90077781677246,251,35.305381774902344,313,24.26467514038086,240,77.89337921142578,285,77.89337921142578,270,147.5404052734375,143,133.404052734375,143,41.04154586791992,173,92.98589324951172,145,114.16030883789062,146,33.37716293334961,245,22.643617630004883,253,22.643617630004883,214,22.643617630004883,352,22.643617630004883,350,22.643617630004883,211,30.29117774963379,576,24.798561096191406,360
1,29.52860641479492,334,19.143516540527344,332,19.143516540527344,284,74.09873962402344,147,41.20077133178711,274,41.20077133178711,413,85.57758331298828,79,130.64450073242188,77,48.32439804077149,84,310.61151123046875,125,64.47695922851562,95,82.2556381225586,180,66.53227233886719,244,74.87519073486328,164,70.28227233886719,231,65.75520324707031,192,146.25038146972656,299,207.6334991455078,263,107.78038787841795,361,173.54234313964844,251,152.30450439453125,341,33.57124710083008,159,34.51359176635742,248,34.51359176635742,144,34.51359176635742,146,34.51359176635742,270,34.51359176635742,402,19.143516540527344,332,41.20077133178711,149
2,22.655977249145508,701,18.70230484008789,677,18.70230484008789,549,16.89993667602539,236,10.839313507080078,394,10.839313507080078,549,68.41114807128906,151,68.41114807128906,98,68.41114807128906,156,16.89993667602539,189,49.7236442565918,175,71.47469329833984,138,48.87306594848633,296,66.52999114990234,137,67.93009185791016,239,48.87306594848633,182,34.96935272216797,312,63.258392333984375,281,36.6023063659668,460,24.75492286682129,253,29.990310668945312,377,28.28741455078125,287,11.55340576171875,277,11.55340576171875,224,11.55340576171875,233,11.55340576171875,386,11.55340576171875,525,18.70230484008789,677,10.839313507080078,235
3,13.236478805541992,224,14.723978996276855,363,14.723978996276855,550,23.90001678466797,126,10.01304817199707,280,10.01304817199707,97,45.98645782470703,68,26.54604148864746,46,31.743072509765625,69,52.17707824707031,96,70.9642333984375,68,39.91559600830078,170,26.019798278808597,232,50.79415512084961,144,30.365856170654297,217,37.93045425415039,196,31.554235458374023,81,34.89361953735352,75,38.625972747802734,86,31.1628475189209,69,37.93045425415039,80,13.233166694641112,116,13.233166694641112,182,13.233166694641112,255,13.233166694641112,136,13.233166694641112,261,13.233166694641112,97,14.723978996276855,204,10.01304817199707,127
4,10.892293930053713,601,10.892293930053713,588,10.892293930053713,550,44.73966979980469,367,29.826824188232425,374,29.826824188232425,135,94.0988540649414,81,121.44319915771484,83,181.18760681152344,85,48.544960021972656,244,125.12010955810548,208,129.58084106445312,265,38.47271728515625,320,92.43101501464844,244,58.69157409667969,315,49.803897857666016,301,74.56343841552734,97,121.95735168457033,96,79.17339324951172,118,110.49037170410156,93,105.86035919189452,101,53.91243743896485,268,38.81140899658203,250,38.81140899658203,239,42.5997314453125,350,38.81140899658203,368,38.81140899658203,131,10.892293930053713,587,29.826824188232425,374
5,18.64967918395996,540,13.648704528808594,524,13.260092735290527,550,40.26885223388672,348,27.77106475830078,359,25.592304229736328,550,42.47027969360352,215,46.64363098144531,207,37.7188720703125,240,17.522010803222656,299,33.954742431640625,252,62.7740364074707,257,35.78514862060547,308,51.666107177734375,246,89.11563873291016,282,52.660343170166016,269,48.015419006347656,448,57.40167999267578,431,51.39202117919922,512,46.8851432800293,419,56.31438827514648,473,42.685794830322266,223,27.947978973388672,238,60.44259643554688,255,60.44259643554688,338,27.947978973388672,335,60.44259643554688,514,13.648704528808594,524,27.77106475830078,359
6,9.53868007659912,691,9.53868007659912,657,9.53868007659912,457,22.531965255737305,352,15.082517623901367,368,12.886232376098633,275,66.05762481689453,179,86.55509185791016,177,22.153675079345703,191,22.153675079345703,255,22.153675079345703,223,142.29873657226562,190,19.29030036926269,262,142.29873657226562,171,20.561166763305664,245,45.50357055664063,202,42.59751892089844,196,65.58048248291016,178,30.599830627441406,230,30.055713653564453,172,85.33528137207031,208,79.8701400756836,244,40.65901947021485,261,79.8701400756836,164,74.33683776855469,343,40.65901947021485,356,130.05767822265625,255,9.53868007659912,657,15.082517623901367,368
7,12.166820526123049,574,12.166820526123049,550,12.166820526123049,549,102.33829498291016,357,39.39418029785156,356,39.39418029785156,398,62.64459609985352,226,60.8453254699707,218,65.23204803466797,243,56.49143600463867,293,58.167030334472656,260,62.22179412841797,183,22.87073135375977,272,95.04816436767578,176,22.87073135375977,243,31.463014602661133,216,29.28542709350586,271,22.87073135375977,249,29.28542709350586,352,51.077430725097656,228,56.69393539428711,277,41.50321578979492,245,41.50321578979492,223,49.86663436889648,270,46.5462760925293,327,49.86663436889648,315,46.5462760925293,370,12.166820526123049,550,39.39418029785156,356
8,28.01449966430664,609,28.01449966430664,589,28.01449966430664,550,65.99765014648438,357,34.647483825683594,366,34.647483825683594,116,40.54835891723633,122,43.65879821777344,119,39.51071166992188,146,65.99765014648438,261,50.59720230102539,155,34.71420669555664,177,84.46687316894531,295,22.63750267028809,147,16.745893478393555,190,82.30774688720703,179,79.2982177734375,76,55.986854553222656,49,34.647483825683594,102,54.10945510864258,41,57.76128387451172,87,27.985519409179688,266,27.985519409179688,247,27.985519409179688,247,27.985519409179688,330,27.985519409179688,346,27.985519409179688,114,28.01449966430664,589,34.647483825683594,366
9,53.05836868286133,504,16.08818244934082,469,16.08818244934082,550,60.87602996826172,332,17.819032669067383,244,17.819032669067383,247,56.7995491027832,190,65.08213806152344,176,51.84689712524414,210,28.346529006958008,275,48.99354934692383,237,21.758363723754883,112,90.22003936767578,226,21.11515235900879,115,23.6752872467041,194,32.91469955444336,134,49.47523880004883,168,70.32467651367188,134,71.62777709960938,179,59.75115585327149,115,94.19339752197266,176,45.7420768737793,237,17.24062156677246,199,17.24062156677246,253,20.659225463867188,318,17.24062156677246,220,17.24062156677246,240,16.08818244934082,469,17.819032669067383,336
