,Original,Watermarked,Translation Attack,Pivot Attack,Recursive Attack 1,Recursive Attack 2,Recursive Attack 3,Recursive Attack 4,Recursive Attack 5
KGW,16.696966442608,93.64311124492602,82.447880584055,39.030685880751996,60.203086443805006,36.853425523347006,26.88706840876801,22.775356710080004,16.858977345266002
SIR,28.602707387869,83.47900667159998,61.810258122895995,25.916130552002006,61.09764029372101,51.58484965233399,44.33829483933102,41.077245805789,36.244708817982
Black Box,50.022400000000005,92.9958,82.9716,52.5938,91.2459,78.189,68.1249,66.8391,62.5321
